contract,eligible_current_house_officials,eligible_current_house_share,eligible_all_house_profiles,eligible_all_house_share,represented_domains,primary_exclusion_reasons,false_or_overstated_change_risk
floor_any_common_domain,367,0.8322,367,0.7085,"{""ECONOMY_TAXES"": 363, ""EDUCATION_WORKFORCE"": 360, ""ENVIRONMENT_ENERGY"": 363, ""HEALTH_SOCIAL"": 360, ""IMMIGRATION_BORDER"": 361, ""JUSTICE_PUBLIC_SAFETY"": 362, ""NATIONAL_SECURITY_FOREIGN"": 365}","{""no_common_domain"": 74}",high: shared broad issue domain can hide different agendas.
api_like_three_rows_one_domain,365,0.8277,365,0.7046,"{""ECONOMY_TAXES"": 361, ""EDUCATION_WORKFORCE"": 358, ""ENVIRONMENT_ENERGY"": 361, ""HEALTH_SOCIAL"": 332, ""JUSTICE_PUBLIC_SAFETY"": 361, ""NATIONAL_SECURITY_FOREIGN"": 365}","{""below_row_threshold"": 2, ""no_common_domain"": 74}",high: shared broad issue domain can hide different agendas.
multi_domain_three_rows,361,0.8186,361,0.6969,"{""ECONOMY_TAXES"": 361, ""EDUCATION_WORKFORCE"": 358, ""ENVIRONMENT_ENERGY"": 361, ""HEALTH_SOCIAL"": 332, ""JUSTICE_PUBLIC_SAFETY"": 361, ""NATIONAL_SECURITY_FOREIGN"": 361}","{""below_row_threshold"": 2, ""no_common_domain"": 78}",high: shared broad issue domain can hide different agendas.
strict_burden_controls,0,0.0,0,0.0,{},"{""below_row_threshold"": 2, ""burden_controls"": 365, ""no_common_domain"": 74}",high: shared broad issue domain can hide different agendas.
topic_overlap_and_balance,0,0.0,0,0.0,{},"{""below_row_threshold"": 2, ""burden_controls"": 365, ""no_common_domain"": 74}",medium: one domain can still be agenda-sensitive.
limited_profile_contract,0,0.0,0,0.0,{},"{""below_row_threshold"": 2, ""burden_controls"": 361, ""no_common_domain"": 78}","lower for qualifying profiles, but coverage is too narrow for broad product value."
