category,official,party,state,district,eligible_for_future_comparison,family_count,not_voting_share,limited_procedural_share
required_valerie_foushee,Valerie P. Foushee,D,NC,04,True,8,0.016,0.7873
required_aaron_bean,Aaron Bean,R,FL,04,True,8,0.0027,0.7873
strong_common_family_evidence,Adam Smith,D,WA,09,True,8,0.0027,0.7873
apparent_continuity_eligible_future_comparison,Adriano Espaillat,D,NY,13,True,8,0.0187,0.7873
apparent_change_eligible_future_comparison,Angie Craig,D,MN,02,True,8,0.0107,0.7873
invalidated_by_vote_type_mismatch,Adrian Smith,R,NE,03,True,8,0.024,0.7873
invalidated_by_different_policy_subtopics,Al Green,D,TX,09,True,8,0.0187,0.7873
sparse_profile,Abraham J. Hamadeh,R,AZ,08,False,0,0.0143,0.8739
meaningful_not_voting_burden,Aumua Amata Coleman Radewagen,R,AS,00,False,1,0.4835,0.596
